VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2018-01-01 00:55:41,2018-01-01 01:05:35,1,1.20,1,N,68,68,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2018-01-01 00:32:46,2018-01-01 00:49:10,1,1.20,1,N,234,90,1,11,0.5,0.5,1.7,0,0.3,14
2,2018-01-01 00:22:51,2018-01-01 00:30:34,1,2.09,1,N,263,233,1,8.5,0.5,0.5,1,0,0.3,10.8
2,2018-01-01 00:56:42,2018-01-01 01:00:17,1,.79,1,N,236,239,1,5,0.5,0.5,1.26,0,0.3,7.56
2,2018-01-01 00:13:17,2018-01-01 00:30:22,2,2.84,1,N,234,13,1,13,0.5,0.5,2.86,0,0.3,17.16
2,2018-01-01 00:32:59,2018-01-01 00:43:19,4,1.56,1,N,13,148,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2018-01-01 00:51:26,2018-01-01 01:00:53,2,1.76,1,N,144,88,1,8.5,0.5,0.5,2.45,0,0.3,12.25
2,2018-01-01 01:02:39,2018-01-01 01:04:02,2,.09,1,N,87,87,4,-3,-0.5,-0.5,0,0,-0.3,-4.3
2,2018-01-01 01:02:39,2018-01-01 01:04:02,2,.09,1,N,87,87,2,3,0.5,0.5,0,0,0.3,4.3
1,2018-01-01 00:23:47,2018-01-01 00:34:28,1,6.00,1,N,247,213,2,17.5,0.5,0.5,0,0,0.3,18.8
1,2018-01-01 00:38:57,2018-01-01 00:39:00,1,6.00,1,N,213,213,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-01-01 00:48:59,2018-01-01 00:49:00,1,6.00,1,N,213,213,2,2.5,0.5,0.5,0,0,0.3,3.8
1,2018-01-01 00:20:53,2018-01-01 00:20:53,1,.00,1,N,161,264,2,14.5,0.5,0.5,0,0,0.3,15.8
2,2018-01-01 00:08:50,2018-01-01 00:12:03,6,1.43,1,N,75,74,2,6,0.5,0.5,0,0,0.3,7.3
2,2018-01-01 00:21:18,2018-01-01 00:24:27,6,.60,1,N,262,236,1,4.5,0.5,0.5,2,0,0.3,7.8
2,2018-01-01 00:26:54,2018-01-01 00:29:52,6,.49,1,N,236,263,1,4,0.5,0.5,1.06,0,0.3,6.36
1,2018-01-01 00:55:15,2018-01-01 01:04:17,2,1.50,1,N,114,224,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2018-01-01 00:17:15,2018-01-01 00:37:37,1,4.40,1,N,107,25,1,17,0.5,0.5,5.45,0,0.3,23.75
1,2018-01-01 00:54:59,2018-01-01 00:58:41,1,.90,1,N,231,158,2,5,0.5,0.5,0,0,0.3,6.3
1,2018-01-01 00:11:46,2018-01-01 00:24:29,1,2.80,1,N,114,246,1,11.5,0.5,0.5,3.2,0,0.3,16
1,2018-01-01 00:26:48,2018-01-01 00:42:22,1,4.40,1,N,50,12,1,15.5,0.5,0.5,2.2,0,0.3,19
1,2018-01-01 00:47:32,2018-01-01 01:06:51,3,6.40,1,N,209,263,1,21,0.5,0.5,3.5,0,0.3,25.8
2,2018-01-01 00:23:24,2018-01-01 00:27:32,2,.23,2,N,186,164,2,52,0,0.5,0,0,0.3,52.8
2,2018-01-01 00:27:58,2018-01-01 00:58:10,1,3.02,1,N,164,142,1,18.5,0.5,0.5,1,0,0.3,20.8
1,2018-01-01 00:15:00,2018-01-01 00:23:01,1,1.70,1,N,239,24,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2018-01-01 00:27:07,2018-01-01 00:36:21,1,1.80,1,N,24,263,1,8,0.5,0.5,2.3,0,0.3,11.6
1,2018-01-01 00:40:25,2018-01-01 00:47:22,1,2.10,1,N,236,162,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2018-01-01 00:58:14,2018-01-01 01:15:34,1,3.00,1,N,237,224,1,13,0.5,0.5,2.85,0,0.3,17.15
2,2018-01-01 00:01:22,2018-01-01 00:02:35,1,.47,1,N,74,75,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2018-01-01 00:08:20,2018-01-01 00:14:36,1,1.60,1,N,263,239,1,7,0.5,0.5,1.66,0,0.3,9.96
2,2018-01-01 00:20:16,2018-01-01 00:53:04,2,4.43,1,N,142,224,1,22.5,0.5,0.5,1,0,0.3,24.8
2,2018-01-01 01:00:12,2018-01-01 01:01:44,1,.53,1,N,233,229,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2018-01-01 00:18:31,2018-01-01 00:23:38,2,.70,1,N,43,236,1,5.5,0.5,0.5,1.35,0,0.3,8.15
1,2018-01-01 00:28:40,2018-01-01 00:33:10,1,1.10,1,N,237,162,2,6,0.5,0.5,0,0,0.3,7.3
1,2018-01-01 00:44:11,2018-01-01 01:14:59,2,2.10,1,N,161,68,1,18.5,0.5,0.5,3.95,0,0.3,23.75
1,2018-01-01 00:27:24,2018-01-01 00:37:55,1,2.80,1,N,143,166,1,10.5,0.5,0.5,3.5,0,0.3,15.3
1,2018-01-01 00:43:39,2018-01-01 01:09:38,1,6.80,1,N,151,79,1,24.5,0.5,0.5,5.15,0,0.3,30.95
2,2018-01-01 00:06:47,2018-01-01 00:09:13,1,.47,1,N,238,238,2,4,0.5,0.5,0,0,0.3,5.3
2,2018-01-01 00:12:29,2018-01-01 00:16:56,1,.88,1,N,238,166,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2018-01-01 00:21:33,2018-01-01 00:39:57,1,6.31,1,N,151,249,2,20.5,0.5,0.5,0,0,0.3,21.8
2,2018-01-01 00:44:01,2018-01-01 01:02:55,1,3.99,1,N,249,239,1,15.5,0.5,0.5,5.04,0,0.3,21.84
2,2018-01-01 00:11:27,2018-01-01 00:21:57,1,2.54,1,N,209,66,2,10,0.5,0.5,0,0,0.3,11.3
2,2018-01-01 00:29:24,2018-01-01 00:48:55,1,4.20,1,N,65,186,2,16.5,0.5,0.5,0,0,0.3,17.8
1,2018-01-01 00:08:10,2018-01-01 00:12:53,4,.70,1,N,4,232,2,5,0.5,0.5,0,0,0.3,6.3
1,2018-01-01 00:19:39,2018-01-01 00:31:58,2,1.30,1,N,232,79,2,9,0.5,0.5,0,0,0.3,10.3
1,2018-01-01 00:35:41,2018-01-01 00:44:15,1,.80,1,N,4,148,1,7,0.5,0.5,1.25,0,0.3,9.55
1,2018-01-01 00:46:56,2018-01-01 00:52:52,1,.80,1,N,148,4,1,5.5,0.5,0.5,1.35,0,0.3,8.15
1,2018-01-01 00:57:14,2018-01-01 01:02:57,2,1.10,1,N,4,224,2,6,0.5,0.5,0,0,0.3,7.3
1,2018-01-01 00:12:01,2018-01-01 00:28:32,2,2.90,1,N,79,233,1,12.5,0.5,0.5,3,0,0.3,16.8
1,2018-01-01 00:36:27,2018-01-01 00:56:17,2,6.50,1,N,233,13,2,21.5,0.5,0.5,0,0,0.3,22.8
1,2018-01-01 00:58:07,2018-01-01 01:08:41,3,1.90,1,N,13,249,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2018-01-01 00:31:07,2018-01-01 00:47:11,1,1.70,1,N,234,170,2,11,0.5,0.5,0,0,0.3,12.3
1,2018-01-01 00:58:26,2018-01-01 01:04:32,1,1.40,1,N,229,263,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2018-01-01 00:49:19,2018-01-01 01:11:58,2,9.10,1,N,138,238,1,28,0.5,0.5,7,5.76,0.3,42.06
2,2018-01-01 00:38:33,2018-01-01 00:41:13,1,.61,1,N,141,141,1,4,0.5,0.5,1.06,0,0.3,6.36
2,2018-01-01 00:45:13,2018-01-01 00:50:47,1,.98,1,N,263,75,1,6,0.5,0.5,1.82,0,0.3,9.12
2,2018-01-01 00:59:59,2018-01-01 01:05:00,1,.93,1,N,237,237,1,5.5,0.5,0.5,1.36,0,0.3,8.16
1,2018-01-01 00:09:10,2018-01-01 00:26:33,2,3.70,1,N,87,189,1,15,0.5,0.5,1,0,0.3,17.3
1,2018-01-01 00:43:46,2018-01-01 00:54:18,1,1.80,1,N,144,234,2,9,0.5,0.5,0,0,0.3,10.3
1,2018-01-01 00:57:29,2018-01-01 01:24:38,2,3.10,1,N,234,142,2,17.5,0.5,0.5,0,0,0.3,18.8
1,2018-01-01 00:08:46,2018-01-01 00:24:07,2,3.00,1,N,43,162,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2018-01-01 00:28:57,2018-01-01 00:36:34,2,1.60,1,N,229,263,1,7.5,0.5,0.5,2,0,0.3,10.8
1,2018-01-01 00:38:43,2018-01-01 00:51:39,1,2.90,1,N,263,170,1,13,0.5,0.5,4.25,0,0.3,18.55
1,2018-01-01 00:27:43,2018-01-01 00:39:13,2,5.70,1,N,264,264,4,17.5,0.5,0.5,0,0,0.3,18.8
1,2018-01-01 00:45:05,2018-01-01 00:51:23,3,.40,1,N,264,264,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018-01-01 00:18:40,2018-01-01 00:19:55,2,.40,1,N,262,262,1,3.5,0.5,0.5,2,0,0.3,6.8
1,2018-01-01 00:21:08,2018-01-01 00:30:31,1,1.90,1,N,262,239,1,9,0.5,0.5,2.05,0,0.3,12.35
1,2018-01-01 00:36:24,2018-01-01 01:02:06,2,2.80,1,N,142,170,1,17,0.5,0.5,2.75,0,0.3,21.05
1,2018-01-01 00:08:49,2018-01-01 00:35:14,2,5.20,1,N,209,164,1,22,0.5,0.5,5.8,0,0.3,29.1
1,2018-01-01 00:37:13,2018-01-01 00:59:59,3,2.50,1,N,164,158,2,15,0.5,0.5,0,0,0.3,16.3
1,2018-01-01 00:32:51,2018-01-01 00:50:22,2,2.50,1,N,234,229,1,13,0.5,0.5,3.55,0,0.3,17.85
1,2018-01-01 00:51:19,2018-01-01 01:10:28,2,2.70,1,N,229,113,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,2018-01-01 00:25:58,2018-01-01 00:46:34,1,3.40,1,N,237,224,2,15.5,0.5,0.5,0,0,0.3,16.8
2,2018-01-01 00:34:46,2018-01-01 00:52:55,4,2.16,1,N,48,161,1,12.5,0.5,0.5,0,0,0.3,13.8
2,2018-01-01 00:53:46,2018-01-01 01:18:43,4,1.77,1,N,161,164,2,15,0.5,0.5,0,0,0.3,16.3
1,2018-01-01 00:17:12,2018-01-01 00:36:26,2,.50,1,N,164,186,1,12,0.5,0.5,2.65,0,0.3,15.95
1,2018-01-01 00:40:10,2018-01-01 01:03:24,1,3.20,1,N,186,140,3,16,0.5,0.5,0,0,0.3,17.3
1,2018-01-01 00:17:50,2018-01-01 00:25:26,2,1.50,1,N,237,229,1,7,0.5,0.5,2.05,0,0.3,10.35
1,2018-01-01 00:29:06,2018-01-01 00:31:21,1,.40,1,N,229,140,1,3.5,0.5,0.5,1.4,0,0.3,6.2
1,2018-01-01 00:36:50,2018-01-01 00:46:24,1,2.60,1,N,141,238,1,10,0.5,0.5,3.35,0,0.3,14.65
1,2018-01-01 00:48:19,2018-01-01 00:56:39,2,1.30,1,N,238,239,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2018-01-01 00:59:28,2018-01-01 01:05:02,1,1.10,1,N,239,238,1,6,0.5,0.5,1.5,0,0.3,8.8
1,2018-01-01 00:14:34,2018-01-01 00:24:56,1,2.70,1,N,263,170,1,10.5,0.5,0.5,1,0,0.3,12.8
1,2018-01-01 00:32:46,2018-01-01 00:51:05,1,4.70,1,N,170,202,1,16.5,0.5,0.5,5.3,0,0.3,23.1
1,2018-01-01 00:35:15,2018-01-01 01:10:21,2,5.50,1,N,144,239,2,24,0.5,0.5,0,0,0.3,25.3
1,2018-01-01 00:15:32,2018-01-01 00:20:17,1,.90,1,N,144,231,1,5.5,0.5,0.5,1.35,0,0.3,8.15
1,2018-01-01 00:23:33,2018-01-01 00:43:25,2,4.50,1,N,231,143,1,17,0.5,0.5,3.65,0,0.3,21.95
1,2018-01-01 00:55:42,2018-01-01 00:57:32,1,.40,1,N,239,238,1,3.5,0.5,0.5,0.96,0,0.3,5.76
2,2018-01-01 00:09:38,2018-01-01 00:24:14,2,1.15,1,N,79,164,2,10,0.5,0.5,0,0,0.3,11.3
2,2018-01-01 00:26:22,2018-01-01 00:42:54,1,1.17,1,N,164,79,2,11,0.5,0.5,0,0,0.3,12.3
2,2018-01-01 00:46:30,2018-01-01 00:59:23,2,3.74,1,N,114,88,1,14,0.5,0.5,3.06,0,0.3,18.36
2,2018-01-01 00:32:15,2018-01-01 00:59:44,1,10.66,1,N,132,61,1,32,0.5,0.5,0,0,0.3,33.3
2,2018-01-01 00:07:53,2018-01-01 00:31:27,1,3.21,1,N,211,162,2,16,0.5,0.5,0,0,0.3,17.3
2,2018-01-01 00:32:30,2018-01-01 00:59:24,1,1.70,1,N,162,107,1,16,0.5,0.5,2.6,0,0.3,19.9
1,2018-01-01 00:30:55,2018-01-01 00:51:04,1,2.30,1,N,249,50,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,2018-01-01 00:59:57,2018-01-01 01:07:59,1,1.70,1,N,50,239,1,7.5,0.5,0.5,1,0,0.3,9.8
2,2018-01-01 00:37:31,2018-01-01 01:24:24,1,22.07,5,N,132,265,1,113,0,0,24.76,10.5,0.3,148.56
1,2018-01-01 00:04:06,2018-01-01 00:13:04,3,1.00,1,N,148,113,2,7,0.5,0.5,0,0,0.3,8.3
1,2018-01-01 00:36:26,2018-01-01 00:50:40,2,3.80,1,N,237,42,1,13.5,0.5,0.5,2,0,0.3,16.8
1,2018-01-01 00:40:13,2018-01-01 01:31:28,2,16.40,1,N,186,205,2,54,0.5,0.5,0,5.76,0.3,61.06
2,2018-01-01 00:14:09,2018-01-01 00:25:27,1,1.87,1,N,79,137,1,9,0.5,0.5,1.03,0,0.3,11.33
2,2018-01-01 00:27:43,2018-01-01 00:40:27,1,2.62,1,N,233,262,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2018-01-01 00:49:39,2018-01-01 00:57:36,1,1.52,1,N,141,263,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018-01-01 00:14:05,2018-01-01 00:17:30,2,.58,1,N,148,79,1,4,0.5,0.5,1.06,0,0.3,6.36
2,2018-01-01 00:19:15,2018-01-01 00:36:00,4,3.33,1,N,79,80,1,15,0.5,0.5,3.26,0,0.3,19.56
2,2018-01-01 00:37:06,2018-01-01 00:55:46,1,4.32,1,N,80,114,2,16.5,0.5,0.5,0,0,0.3,17.8
2,2018-01-01 00:56:18,2018-01-01 01:02:59,2,1.17,1,N,114,107,1,6.5,0.5,0.5,1,0,0.3,8.8
2,2018-01-01 00:08:11,2018-01-01 00:40:09,5,4.77,1,N,114,141,1,22,0.5,0.5,20,0,0.3,43.3
2,2018-01-01 00:50:16,2018-01-01 00:57:26,5,1.37,1,N,263,43,1,7,0.5,0.5,2.49,0,0.3,10.79
1,2018-01-01 00:14:05,2018-01-01 00:25:20,4,1.30,1,N,113,164,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2018-01-01 00:34:05,2018-01-01 00:57:56,3,8.20,1,N,170,181,1,26.5,0.5,0.5,6.95,0,0.3,34.75
1,2018-01-01 00:18:09,2018-01-01 00:28:23,4,1.30,1,N,112,255,3,8.5,0.5,0.5,0,0,0.3,9.8
1,2018-01-01 00:32:47,2018-01-01 00:51:23,4,4.30,1,N,255,7,2,16.5,0.5,0.5,0,0,0.3,17.8
2,2018-01-01 00:17:58,2018-01-01 00:20:30,1,.58,1,N,170,107,2,4,0.5,0.5,0,0,0.3,5.3
2,2018-01-01 00:28:18,2018-01-01 00:35:07,1,.90,1,N,234,113,2,6,0.5,0.5,0,0,0.3,7.3
2,2018-01-01 00:44:05,2018-01-01 01:28:48,1,12.01,1,N,249,126,1,41,0.5,0.5,8.46,0,0.3,50.76
1,2018-01-01 00:26:54,2018-01-01 00:34:22,2,.90,1,N,137,170,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2018-01-01 00:20:32,2018-01-01 00:25:04,1,.40,1,N,43,43,1,5,0.5,0.5,1.25,0,0.3,7.55
1,2018-01-01 00:28:25,2018-01-01 01:04:03,1,2.00,1,N,43,164,2,20.5,0.5,0.5,0,0,0.3,21.8
2,2018-01-01 00:40:59,2018-01-01 00:48:06,1,.67,1,N,68,90,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2018-01-01 00:49:47,2018-01-01 01:15:10,1,2.99,1,N,90,114,1,16.5,0.5,0.5,1,0,0.3,18.8
1,2018-01-01 00:12:15,2018-01-01 00:17:45,1,.50,1,N,89,89,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2018-01-01 00:58:09,2018-01-01 01:35:58,2,24.00,1,N,132,220,1,65.5,0.5,0.5,18.1,5.76,0.3,90.66
1,2018-01-01 00:08:12,2018-01-01 00:11:03,2,.90,1,N,229,141,2,5,0.5,0.5,0,0,0.3,6.3
1,2018-01-01 00:20:55,2018-01-01 00:44:00,1,12.70,1,N,140,133,2,35.5,0.5,0.5,0,0,0.3,36.8
2,2018-01-01 00:13:03,2018-01-01 00:18:17,1,.91,1,N,43,239,1,6,0.5,0.5,1.82,0,0.3,9.12
2,2018-01-01 00:22:55,2018-01-01 00:40:00,2,3.89,1,N,239,249,1,15,0.5,0.5,4.08,0,0.3,20.38
2,2018-01-01 00:41:53,2018-01-01 00:54:49,1,1.51,1,N,249,246,1,9,0.5,0.5,2.06,0,0.3,12.36
2,2018-01-01 00:55:55,2018-01-01 01:17:16,1,3.09,1,N,246,229,1,15,0.5,0.5,4.08,0,0.3,20.38
1,2018-01-01 00:51:43,2018-01-01 01:00:46,2,2.00,1,N,249,209,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2018-01-01 00:08:32,2018-01-01 00:24:52,2,4.40,1,N,264,264,2,16,0.5,0.5,0,0,0.3,17.3
1,2018-01-01 00:29:13,2018-01-01 00:52:32,2,3.80,1,N,264,264,1,17.5,0.5,0.5,3.75,0,0.3,22.55
1,2018-01-01 00:57:25,2018-01-01 01:19:30,2,2.70,1,N,264,264,2,15.5,0.5,0.5,0,0,0.3,16.8
2,2018-01-01 00:47:26,2018-01-01 01:02:43,2,1.93,1,N,161,237,1,11.5,0.5,0.5,1,0,0.3,13.8
1,2018-01-01 00:28:42,2018-01-01 00:33:51,1,1.40,1,N,13,87,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2018-01-01 00:21:16,2018-01-01 00:31:23,1,1.54,1,N,249,90,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2018-01-01 00:38:09,2018-01-01 01:02:09,1,2.11,1,N,234,170,1,14,0.5,0.5,2.5,0,0.3,17.8
1,2018-01-01 00:16:31,2018-01-01 00:18:27,1,.20,1,N,162,237,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2018-01-01 00:28:07,2018-01-01 00:34:45,2,.90,1,N,237,162,1,6,0.5,0.5,2,0,0.3,9.3
1,2018-01-01 00:52:28,2018-01-01 01:28:50,0,17.90,2,N,132,262,1,52,0,0.5,20,0,0.3,72.8
1,2018-01-01 00:15:34,2018-01-01 00:19:33,1,.70,1,N,264,264,2,5,0.5,0.5,0,0,0.3,6.3
1,2018-01-01 00:23:41,2018-01-01 00:28:27,1,1.20,1,N,264,264,1,6,0.5,0.5,1.5,0,0.3,8.8
1,2018-01-01 00:40:06,2018-01-01 00:54:27,2,2.60,1,N,264,264,1,11.5,0.5,0.5,2,0,0.3,14.8
1,2018-01-01 00:28:36,2018-01-01 00:45:51,2,2.40,1,N,113,161,2,13,0.5,0.5,0,0,0.3,14.3
1,2018-01-01 00:52:14,2018-01-01 00:56:50,2,.80,1,N,229,170,1,5,0.5,0.5,1.25,0,0.3,7.55
2,2018-01-01 00:13:02,2018-01-01 00:25:34,1,2.26,1,N,239,262,2,10,0.5,0.5,0,0,0.3,11.3
2,2018-01-01 00:29:21,2018-01-01 00:37:30,1,1.82,1,N,262,229,1,8.5,0.5,0.5,2.2,0,0.3,12
2,2018-01-01 00:48:13,2018-01-01 00:58:06,1,.50,1,N,163,161,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2018-01-01 00:27:29,2018-01-01 00:40:56,1,2.74,1,N,239,166,1,12,0.5,0.5,2.66,0,0.3,17.91
2,2018-01-01 00:46:22,2018-01-01 00:56:19,1,2.16,1,N,151,263,1,9.5,0.5,0.5,2,0,0.3,12.8
1,2018-01-01 00:30:01,2018-01-01 00:36:37,1,.60,1,N,237,141,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2018-01-01 00:59:41,2018-01-01 01:03:30,1,.80,1,N,141,263,1,5,0.5,0.5,0.88,0,0.3,7.18
